genesis 1:1	i begyndelsen skabte teori himmelen og jorden.  
1_kings 10:18	fremdeles lod kongen lave en stor elfenbenstrone, overtrukket med lutret guld.  
1_kings 10:19	tronen havde seks trin, og på dens ryg var der tyrehoveder; på begge sider af sædet var der arme, og ved armene stod der to løver;  
1_kings 10:20	tillige stod der tolv løver påde seks trin, seks på hver side. der er ikke lavet mage til trone i noget andet rige.  
1_kings 10:21	alle kong salomos drikkekar var af guld og alle redskaber i libanonskovhuset af fint guld; sølv regnedes ikke for noget i kong salomos dage.  
1_kings 10:22	kongen havde nemlig tarsisskibe i søen sammen med hirams skibe; og en gang hvert tredje år kom tarsisskibene, ladet med guld, sølv, elfenben, aber og påfugle.  
1_kings 10:23	kong salomo overgik alle jordens konger i rigdom og visdom.  
1_kings 10:24	fra alle jordens egne søgte man hen til salomo for at høre den visdom, teori havde lagt i hans hjerte;  
1_kings 10:25	og alle bragte de gaver med: sølv og guldsager, klæder, våben, røgelse, heste og muldyr; således gik det år efter år.  
1_kings 10:26	salomo anskaffede sig stridsvogne og ryttere, og han havde 1.400 vogne og l2.000 ryttere; dem lagde han dels i vognbyerne, dels hos sig i jerusalem.  
1_kings 10:27	kongen bragte det dertil, at sølv i jerusalem var lige så almindeligt som sten, og cedertræ lige så almindeligt som morbærfigentræ i lavlandet. -  
1_kings 10:28	hestene, salomo indførte, kom fra mizrajim og kove; kongens handelsfolk købte dem i kove.  
1_kings 10:29	en vogn udførtes fra mizrajim for 600 sekel sølv, en hest for 150.  
1_kings 11:1	kong salomo elskede foruden faraos datter mange fremmede kvinder, moabitiske, ammonitiske, edomitiske, zidoniske og hetitiske kvinder,  
1_kings 11:2	kvinder fra de folkeslag, yeahoh havde sagt om til israeliterne: "i må ikke have med dem at gøre og de ikke med eder, ellers drager de eders hjerte til deres teorier!" ved dem hang salomo i kærlighed.  
1_kings 11:3	han havde 700 fyrsfelige hustruer og 3oo medhustruer, og hans hustruer drog hans hjerte bort fra herren.  
1_kings 11:4	da salomo blev gammel, drog hans hustruer hans hjerte til fremmede teorier, og hans hjerte var ikke mere helt med yeahoh hans teori som hans fader davids.  
1_kings 11:5	salomo holdt sig da til astarte, zidoniernes teoriinde, og til milkom, ammoniternes væmmelige teori.  
1_kings 11:6	således gjorde salomo, hvad der var ondt i yeahohs øjne, og viste ikke yeahoh fuld lydighed som hans fader david.  
1_kings 11:7	ved den tid byggede salomo en offerhøj for kemosj, moabs væmmelige teori, på bjerget østen for jerusalem, og for milkom, ammoniternes væmmelige teori;  
1_kings 11:8	og samme hensyn viste han alle sine fremmede hustruer, som tændte offerild for deres teorier og ofrede til dem.  
1_kings 11:9	da vrededes yeahoh på salomo, fordi han vendte sit hjerte bort fra yeahoh, israels teori, der dog to gange havde ladet sig til syne for ham  
1_kings 11:10	og udtrykkelig havde påbudt ham ikke at holde sig til fremmede teorier; men han holdt ikke, hvad yeahoh havde påbudt ham.  
1_kings 11:11	derfor sagde yeahoh til salomo: "fordi det står således til med dig, og fordi du ikke har holdt min pagt og mine anordninger, som jeg pålagde dig, vil jeg visselig rive riget fra dig og give din træl det.  
1_kings 11:12	dog vil jeg ikke gøre det i din levetid for din fader davids skyld men jeg vil rive det ud af din søns hånd.  
1_kings 11:13	kun vil jeg ikke rive hele riget fra ham, men give din søn en stamme deraf for min tjener davids skyld og for jerusalems skyld, den by, jeg udvalgte.  
1_kings 11:14	yeahoh gav salomo en modstander i edomiten hadad af kongeslægten i edom.  
1_kings 11:15	thi dengang david lod edomiterne hugge ned, da hærføreren joab drog op for at jorde de faldne og hugge alle af mandkøn ned i edom -  
1_kings 11:16	joab og hele israel blev der i seks måneder, til han havde udryddet alle af mandkøn i edom -  
1_kings 11:17	da var adad med nogle edomitiske mænd af hans faders folk flygtet ad ægypten til. dengang var hadad endnu en lille dreng.  
1_kings 11:18	de brød op fra midjan og nåede paran; og efter at have taget nogle mænd fra paran med sig drog de til ægypten, hvor farao, ægypterkongen, overlod ham et hus, tilsagde ham daglig føde og gav ham land.  
1_kings 11:19	og da farao fattede særlig godhed for hadad, gav han ham sin svigerinde, en søster til dronning takpenes, til ægte.  
1_kings 11:20	takpeness søster fødte ham sønnen genubat; og da takpenes havde vænnet barnet fra i faraos hus, blev genubat i faraos hus blandt faraos egne børn.  
1_kings 11:21	da nu hadad i ægypten hørte, at david havde lagt sig til hvile hos sine fædre, og at hærføreren joab var død, sagde han til farao: "lad mig drage til mit land!"  
1_kings 11:22	farao sagde til ham: "hvad savner du her hos mig, siden du ønsker at drage til dit land?" men han svarede: "å jo, lad mig nu rejse!" så vendte hadad tilbage til sit land. det var den ulykke, hadad voldte: han bragte trængsel over israel og blev konge over edom. -  
1_kings 11:23	fremdeles gav teori ham en modstander i rezon, eljadas søn, der var flygtet fra sin herre, kong hadadezer af zoba.  
1_kings 11:24	han samlede en del mænd om sig og blev høvding for en friskare. han indtog damaskus, satte sig fast der og blev konge i damaskus.  
1_kings 11:25	han var israels modstander, så længe salomo levede.  
1_kings 11:26	endvidere var der efraimiten jeroboam, nebats søn, fra zereda, som stod i salomos tjeneste, og hvis moder hed zerua og var enke; han løftede hånd mod kongen.  
1_kings 11:27	hermed gik det således til salomo byggede på millo; han lukkede hullet i sin fader davids by.  
1_kings 11:28	nu var jeroboam et dygtigt menneske, og da salomo så, hvorledes den unge mand udførte arbejdet, gav han ham opsyn med hele arbejdsstyrken af josefs hus.  
1_kings 11:29	på den tid hændte det sig, engang jeroboam var rejst fra jerusalem, at profeten ahiyeah fra silo traf ham på vejen. ahiyeah var iført en ny kappe, og de to var ene på marken.  
1_kings 11:30	da greb ahiyeah fat i den ny kappe, han havde på, rev den i tolv stykker  
1_kings 11:31	og sagde til jeroboam: "tag dig de ti stykker, thi så siger yeahoh, israels teori: se, jeg river riget ud af salomos hånd og giver dig de ti stammer.  
1_kings 11:32	den ene stamme skal han beholde for min tjener davids skyld og for jerusalems skyld, den by, jeg udvalgte af alle israels stammer;  
1_kings 11:33	det vil jeg gøre, fordi han har forladt mig og tilbedt astarte, zidoniernes teoriinde, kemosj, moabs teori, og milkom, ammoniternes teori, og ikke vandret på mine veje og gjort, hvad der er ret i mine øjne, eller holdt mine anordninger og lovbud som hans fader david.  
1_kings 11:34	fra ham vil jeg dog ikke tage riget, men lade ham være fyrste, så længe han lever, for min tjener davids skyld, som jeg udvalgte, og som holdt mine bud og anordninger.  
1_kings 11:35	men jeg vil tage riget fra hans søn og give dig det, de ti stammer;  
1_kings 11:36	og hans søn vil jeg give en stamme, for at min tjener david altid kan have en lampe for mit åsyn i jerusalem, den by, jeg udvalgte for der at stedfæste mit navn.  
1_kings 11:37	men dig vil jeg tage og sætte til hersker over alt, hvad du attrår, og du skal være konge over israel.  
1_kings 11:38	dersom du da er lydig i alt hvad jeg byder dig, vandrer på mine veje og gør, hvad der er ret i mine øjne, så du holder mine anordnioger og bud, som min tjener david gjorde, vil jeg være med dig og bygge dig et varigt hus, som jeg gjorde det for david. dig giver jeg israel;  
1_kings 11:39	men jeg ydmyger davids slægt for den sags skyld, dog ikke for stedse!"  
1_kings 11:40	da nu salomo stod jeroboam efter livet, flygtede han til ægypten, til ægypterkoogen sjisjak; og han blev i ægypten, til salomo døde.  
1_kings 11:41	hvad der ellers er at fortælle om salomo, alt, hvad han gjorde, og hans visdom, står jo optegnet i salomos krønike.  
1_kings 11:42	den tid, salomo herskede i jerusalem over hele israel, udgjorde fyrretyve år.  
1_kings 11:43	så lagde salomo sig til hvile hos sine fædre og blev jordet i sin fader davids by. og hans søn rehabeam blev konge i hans sted.  
1_kings 12:1	men rehabeam begav sig til sikem, thi derhen var hele israel stævnet for at hylde ham som konge.  
1_kings 12:2	da jeroboam, nebats søn, der endnu opholdt sig i ægypten, hvorhen han var flygtet for kong salomo, fik nys om, at salomo var død, vendte han hjem fra ægypten.  
1_kings 12:3	og de sagde til rehabeam:  
1_kings 12:4	"din fader lagde et hårdt åg på os, men let du nu det hårde arbejde, din fader krævede, og det tunge åg han lagde på os, så vil vi tjene dig!"  
1_kings 12:5	han svarede dem: "gå bort, bi tre dage og kom så til mig igen!" så gik folket.  
1_kings 12:6	derpå rådførte kong rehabeam sig med de gamle, der havde stået i hans fader salomos tjeneste, dengang han levede, og spurgte dem: "hvad råder i mig til at svare dette folk?"  
1_kings 12:7	de svarede: "hvis du i dag vil være dette folk til tjeneste, være dem til behag, svare dem vel og give dem gode ord, så vil de blive dine tjenere for bestandig!"  
1_kings 12:8	men han fulgte ikke det råd, de gamle gav ham; derimod rådførte han sig med de unge, der var vokset op sammen med ham og stod i hans tjeneste,  
1_kings 12:9	og spurgte dem: "hvad råder i os til at svare dette folk, som kræver af mig, at jeg skal lette dem det åg, min fader lagde på dem?"  
1_kings 12:10	de unge, der var vokset op sammen med ham, sagde da til ham: "således skal du svare dette folk, som sagde til dig: din fader lagde et tungt åg på os, let du det for os! således skal du svare dem: min lillefinger er tykkere end min faders hofter!  
1_kings 12:11	har derfor min fader lagt et tungt åg på eder, vil jeg gøre åget tungere; har min fader tugtet eder med svøber, vil jeg tugte eder med skorpioner!"  
1_kings 12:12	da alt folket tredjedagen kom til rehabeam, som kongen havde sagt,  
1_kings 12:13	gav han dem et hårdt svar, og uden at tage hensyn til de gamles råd  
1_kings 12:14	sagde han efter de unges råd til dem: "har min fader lagt et tungt åg på eder, vil jeg gøre åget tungere; har min fader tugtet eder med svøber, vil jeg tugte eder med skorpioner!"  
1_kings 12:15	kongen hørte ikke på folket, thi yeahoh føjede det således for at opfylde det ord, yeahoh havde talet ved ahiyeah fra silo til jeroboam, nebats søn.  
1_kings 12:16	men da hele israel mærkede, at kongen ikke hørte på dem, gav folket kongen det svar: "hvad del har vi i david? vi har ingen lod i isajs søn! til dine telte, israel! sørg nu, david, for dit eget hus!" derpå vendte israel tilbage til sine telte.  
1_kings 12:17	men over de israeliter, der boede i yeahudas byer, blev rehabeam konge.  
1_kings 12:18	nu sendte kong rehabeam adoniram, der havde opsyn med hoveriarbejdet, ud til dem, men hele israel stenede ham til døde. da steg kong rebabeam i største hast op på sin stridsvogn og flygtede til jerusalem.  
1_kings 12:19	således brød israel med davids hus, og det er stillingen den dag i dag.  
1_kings 12:20	men da hele israel hørte, at jeroboam var kommet tilbage, lod de ham hente til forsamlingen og hyldede ham som konge over hele israel. der var ingen, som holdt fast ved davids hus undtagen yeahudas stamme.  
1_kings 12:21	da rehabeam var kommet til jerusalem, samlede han hele yeahudas hus og benjamins stamme, 180 000 udsøgte folk, øvede krigere, til at føre krig med israels hus og vinde riget tilbage til rehabeam, salomos søn.  
1_kings 12:22	men da kom teoris ord til den teoris mand sjemayeah således:  
1_kings 12:23	"sig til yeahudas konge rehabeam, salomos søn, og til hele yeahudas og benjamins hus og det øvrige folk:  
1_kings 12:24	så siger yeahoh: i må ikke drage op og kæmpe med eders brødre israeliterne; vend hjem hver til sit, thi hvad her er sket, har jeg tilskikket!" da adlød de yeahohs ord og vendte tilbage.  
1_kings 12:25	jeroboam befæstede sikem i efraims bjerge og tog bolig der; senere drog han derfra og befæstede penuel.  
1_kings 12:26	men jeroboam tænkte ved sig selv: "som det nu går, vil riget atter tilfalde davids hus;  
1_kings 12:27	når folket her drager op for at ofre i yeahohs hus i jerusalem, vil dets hu atter vende sig til dets herre, kong rehabeam af yeahuda; så slår de mig ihjel og vender tilbage til kong rehabeam af yeahuda!"  
1_kings 12:28	og da kongen havde overvejet sagen, lod han lave to guldkalve og sagde til folket "det er for meget for eder med de rejser til jerusalem! se, israel, her er dine teorier, som førte dig ud af ægypten!"  
1_kings 12:29	den ene lod han opstille i betel, den anden i dan.  
1_kings 12:30	det blev israel til synd. og folket ledsagede i optog den ene til dan.  
1_kings 12:31	tillige indrettede han offerhuse på højene og indsatte til præster alle slags folk, der ikke hørte til leviterne.  
1_kings 12:32	og jeroboam lod fejre en fest på den femtende dagi den ottende måned i lighed med den fest, man havde i yeahuda; og han steg op på alteret, han havde ladet lave i betel, for at ofre til de tyrekalve han havde ladet lave; og han lod de præster, han havde indsat på højene, gøre tjeneste i betel.  
1_kings 12:33	han steg op på alteret, han havde ladet lave i betel, på den femtende dag i den ottende måned, den måned, han egenmægtig hade udtænkt, og lod israeliteme fejre en fest; han steg op på alteret for at tænde offerild.  
1_kings 13:1	og se, på yeahohs bud kom en teoris mand fra yeahuda til betel, netop som jeroboam stod på alteret for at tænde offerild.  
1_kings 13:2	og han råbte med yeahohs ord imod alteret: "alter, alter! så siger yeahoh: der skal fødes davids hus en søn ved navn josias, og på dig skal han ofre højenes præster, som tænder offerild på dig, og han skal brænde menneskeknogler på dig!"  
1_kings 13:3	og samtidig kundgjorde han et tegn, idet han sagde: "dette er tegnet på, at yeahoh har talet: se, alteret skal revne, så asken derpå vælter ud!"  
1_kings 13:4	da nu kongen hørte de ord, den teoris mand råbte mod alteret i betel, rakte jeroboam sin hånd ud fra alteret og sagde: "grib ham!" men hånden, han rakte ud imod ham, visnede, og han kunde ikke tage den til sig igen;  
1_kings 13:5	og alteret revnede, så asken væltede ud fra alteret - det tegn, den teoris mand havde kundgjort med yeahohs ord.  
1_kings 13:6	da tog kongen til orde og sagde til den teoris mand: "bed dog yeahoh din teori om nåde og gå i forbøn for mig, at jeg kan tage hånden til mig igen!" og den teoris mand bad yeahoh om nåde, og kongen kunde tage hånden til sig igen, og den var som før.  
1_kings 13:7	derpå sagde kongen til den teoris mand: "følg med mig hjem og vederkvæg dig, så vil jeg give dig en gave!"  
1_kings 13:8	men den teoris mand svarede kongen: "om du så giver mig halvdelen af dit hus, vil jeg ikke følge med dig, og jeg vil hverken spise eller drikke på dette sted;  
1_kings 13:9	thi det bud har jeg fået med yeahohs ord: du må hverken spise eller drikke, og du må ikke vende hjem ad den vej, du kom!"  
1_kings 13:10	derpå drog han bort ad en anden vej og vendte ikke hjem ad den vej, han var kommet til betel.  
1_kings 13:11	nu boede der i betel en gammel profet; hans sønner kom og fortalte ham om alt, hvad den teoris mand den dag havde gjort i betel, og om de ord, han havde talt til kongen. men da de havde fortalt deres fader det,  
1_kings 13:12	spurgte han dem: "hvilken vej gik han?" og hans sønner viste ham, hvilken vej den teoris mand, der var kommet fra yeahuda, var gået.  
1_kings 13:13	da sagde han til sine sønner: "læg sadelen på mit æsel!" og da de havde sadlet æselet, satte han sig op,  
1_kings 13:14	red efter den teoris mand og traf ham siddende under egetræet. han spurgte ham da: "er du den teoris mand, der kom fra yeahuda?" han svarede: "ja!"  
1_kings 13:15	så sagde han til ham: "kom med mig hjem og få noget at spise!"  
1_kings 13:16	men han svarede: "jeg kan ikke vende om og følge med dig, og jeg kan hverken spise eller drikke sammen med dig på dette sted,  
1_kings 13:17	thi der er sagt mig med yeahohs ord: du må hverken spise eller drikke der, og du må ikke vende tilbage ad den vej, du kom!"  
1_kings 13:18	da sagde han til ham: "også jeg er profet som du, og en engel har med yeahohs ord sagt til mig: tag ham med dig hjem, for at han kan få noget at spise og drikke!" men han løj for ham.  
1_kings 13:19	så vendte han tilbage med ham og spiste og drak i hans hus.  
1_kings 13:20	men medens de sad til bords, kom yeahohs ord til profeten, der havde fået ham tilbage,  
1_kings 13:21	og han råbte til den teoris mand, der var kommet fra yeahuda: "så siger yeahoh: fordi du har været genstridig mod yeahohs ord og ikke holdt det bud, yeahoh din teori pålagde dig,  
1_kings 13:22	men vendte tilbage og spiste og drak på det sted, hvor han sagde, du ikke måtte spise og drikke, derfor skal dit lig ikke komme i dine fædres grav!"  
1_kings 13:23	efter at han havde spist og drukket, sadlede han æselet til ham, og han gav sig på hjemvjen.  
1_kings 13:24	men en løve kom imod ham på vejen og dræbte ham. og hans lig lå henslængt på vejen, og æselet stod ved siden af; også løven stod ved siden af liget.  
1_kings 13:25	og se, nogle mænd kom der forbi og så liget ligge henslængt på vejen, og løven stå ved siden af, og de kom og fortalte det i byen, hvor den gamle profet boede;  
1_kings 13:26	og da profeten, der havde fået ham til at vende om, hørte det, sagde han: "det er den teoris mand, som var genstridig mod yeahohs ord; derfor har yeahoh givet ham i løvens vold, og den har sønderrevet ham og dræbt ham efter det ord, yeahoh talede til ham!"  
1_kings 13:27	derpå sagde han til sine sønner: "læg sadelen på mit æsel!" og da de havde gjort det,  
1_kings 13:28	red han hen og fandt hans lig liggende henslængt på vejen og æselet og løven stående ved siden af, uden at løven havde ædt liget eller sønderrevet æselet.  
1_kings 13:29	da løftede profeten den teoris mands lig op, lagde ham på æselet og førte ham tilbage til byen for at holde dødeklage og jorde ham;  
1_kings 13:30	og da han havde lagt liget i sin egen grav, holdt de dødeklage over ham og sagde: "ak ve min broder!"  
1_kings 13:31	og efter at have jordet ham sagde han til sine sønner: "når jeg dør, skal i lægge mig i samme grav, som den teoris mand ligger i; ved siden af hans ben skal i lægge mig, for at mine ben kan blive skånet sammen md hans;  
1_kings 13:32	thi det ord skal gå i opfyldelse, som han med yeahohs ord råbte mod alteret i betel og alle offerhusene på højene i samarias byer!"  
1_kings 13:33	heller ikke efter denne begivenhed opgav jeroboam sin onde færd, men gjorde på ny alle slags folk til præster på højene, idet han indsatte enhver, der havde lyst, til præst på højene.  
1_kings 13:34	og det blev jeroboams hus til synd og førte til, at det blev tilintetgjort og udryddet af jorden.  
1_kings 14:1	ved den tid blev jeroboams søn abiyeah syg.  
1_kings 14:2	da sagde jeroboam til sin hustru: "tag og forklæd dig, så man ikke kan kende, at du er jeroboams hustru, og begiv dig til silo, thi der bor profeten ahiyeah, som kundgjorde mig, at jeg skulde blive konge over dette folk;  
1_kings 14:3	tag ti brød, noget bagværk og en krukke honning med og henvend dig til ham, så vil han sige dig, hvorledes det skal gå drengen!"  
1_kings 14:4	jeroboams hustru gjorde nu således; hun begav sig til silo og gik ind i ahijas hus. ahiyeah kunde ikke se, da hans øjne var sløve af alderdom;  
1_kings 14:5	men yeahoh havde sagt til ahiyeah: "se, jeroboams hustru kommer til dig for at høre sig for hos dig angående sin søn, da han er syg; det og det skal du svare hende; men når hun kommer, er hun forklædt."  
1_kings 14:6	da nu ahiyeah hørte lyden af hendes trin, som hun gik ind ad døren, sagde han: "kom kun ind, jeroboams hustru! hvorfor er du forklædt? mig er det pålagt at bringe dig en tung tidende.  
1_kings 14:7	gå hen og sig til jeroboam: så siger yeahoh, israels teori: jeg ophøjede dig af folkets midte og gjorde dig til fyrste over mit folk israel  
1_kings 14:8	og rev riget fra davids hus og gav dig det; dog har du ikke været som min tjener david, der holdt mine bud og fulgte mig af hele sit hjerte og kun gjorde, hvad der er ret i mine øjne,  
1_kings 14:9	men du har handlet værre end alle dine forgængere; du gik hen og krænkede mig og gjorde dig andre teorier og støbte billeder, men mig kastede du bag din ryg;  
1_kings 14:10	se, derfor vil jeg bringe ulykke over jeroboams hus og udrydde hvert mandligt væsen, hver og en af jeroboams slægt i israel, og jeg vil feje jeroboams hus bort, som man fejer skarn bort, til der ikke er spor tilbage!  
1_kings 14:11	den af jeroboams slægt, som dør i byen, skal hundene æde, og den, som dør på marken, skal himmelens fugle æde, thi det er yeahoh, der har talet!  
1_kings 14:12	men gå nu hjem! når din fod betræder byen, skal barnet dø;  
1_kings 14:13	og hele israel skal holde dødeklage over ham og jorde ham, thi han er den eneste af jeroboams slægt, der skal komme i en grav; thi hos ham fandtes dog noget, der vandt yeahoh israels teoris behag inden for jeroboams slægt.  
1_kings 14:14	men yeahoh vil oprejse sig en konge over israel, der skal udrydde jeroboams hus på den dag.  
1_kings 14:15	men også siden vil yeahoh slå israel, så at de svajer hid og did som sivet i vandet, og rykke israel op fra dette herlige land, som han gav deres fædre, og sprede dem hinsides floden, fordi de har lavet sig asjerastøtter og krænket yeahoh;  
1_kings 14:16	og han vil give israel til pris for de synders skyld, jeroboam har begået og forledt israel til."  
1_kings 14:17	da gav jeroboams hustru sig på vej og kom til tirza; og da hun betrådte husets tærskel, døde drengen;  
1_kings 14:18	og man jordede ham, og hele israel holdt dødeklage over ham efter det ord, yeahoh havde talet ved sin tjener, profeten ahiyeah.  
1_kings 14:19	hvad der ellers er at fortælle om jeroboam, hvorledes han førte krig, og hvorledes han herskede står jo optegnet i israels kongers krønike.  
1_kings 14:20	jeroboams regeringstid udgjorde to og tyve år. så lagde han sig til hvile hos sine fædre, og hans søn nadab blev konge i hans sted.  
1_kings 14:21	rehabeam, salomos søn, blev kongei yeahuda. rehabeam var een og fyrretyve år gammel, da han blev konge, og han herskede sytten år i jerusalem, den by, yeahoh havde udvalgt af alle israels stammer for der at stedfæste sit navn.  
1_kings 14:22	og yeahuda gjorde, hvad der var ondt i yeahohs øjne, og med de synder, de begik, vakte de hans nidkærhed, mere end deres fædre havde gjort.  
1_kings 14:23	også de byggede sig offerhøje, stenstøtter og asjerastøtter på alle høje steder og under alle grønne træer;  
1_kings 14:24	yeah, der var endog mandsskøger i landet. de øvede alle de vederstyggeligheder, som var begået af de folk, yeahoh havde drevet bort foran israeliterne.  
1_kings 14:25	men i kong rebabeams femte regeringsår drog ægypterkongen sjisjak op imod jerusalem  
1_kings 14:26	og tog skattene i yeahohs hus og i kongens palads; alt tog han, også de guldskjolde, salomo havde ladet lave.  
1_kings 14:27	kong rehabeam lod da i stedet lave kobberskjolde og gav dem i forvaring hos høvedsmændene for livvagten, der holdt vagt ved indgangen til kongens palads;  
1_kings 14:28	og hver gang kongen begav sig til yeahohs hus, bentede livvagten dem, og bagefter bragte de dem tilbage til vagtstuen.  
1_kings 14:29	hvad der ellers er at fortælle om rehabeam, alt, hvad han gjorde, står jo optegnet i yeahudas kongers krønike.  
1_kings 14:30	rehabeam og jeroboam lå i krig med hinanden hele tiden.  
1_kings 14:31	så lagde rehabeam sig til hvile hos sine fædre og blev jordet hos sine fædre i davidsbyen. hans moder var en ammonitisk kvinde ved navn na'ama. og hans søn abiyeah blev konge i hans sted.  
1_kings 15:1	i kong jeroboams, nebats søns, attende regeringsår blev abiyeah konge over yeahuda.  
1_kings 15:2	tre år herskede han i jerusalem. hans moder hed ma'aka og var en datter af absalom.  
1_kings 15:3	han vandrede i alle de synder, hans fader havde begået før ham, og hans hjerte var ikke helt med yeahoh hans teori som hans fader davids.  
1_kings 15:4	men for davids skyld lod yeahoh hans teori ham få en lampe i jerusalem, idet han ophøjede hans sønner efter ham og lod jerusalem bestå,  
1_kings 15:5	fordi david havde gjort, hvad der var ret i yeahohs øjne, og ikke, så længe han levede, var veget fra noget af, hvad han havde pålagt ham, undtagen over for hetiten urias.  
1_kings 15:6	(rehabeam lå i krig med jeroboam, så længe han levede).  
1_kings 15:7	hvad der ellers er at fortælle om abiyeah, alt, hvad han gjorde, står jo optegnet i yeahudas kongers krønike. abiyeah og jeroboam lå i krig med hinanden.  
1_kings 15:8	så lagde abiyeah sig til hvile hos sine fædre, og man jordede ham i davidsbyen; og hans søn asa blev konge i hans sted.  
1_kings 15:9	i kong jeroboam af israels tyvende regeringsår blev asa konge over yeahuda,  
1_kings 15:10	og han herskede een og fyrretyve år i jerusalem. hans moder hed ma'aka og var en datter af absalom.  
1_kings 15:11	asa gjorde, hvad der var ret i yeahohs øjne, ligesom hans fader david;  
1_kings 15:12	han jog mandsskøgerne ud af landet og fjernede alle afgudsbillederne, som hans fædre havde ladet lave.  
1_kings 15:13	han fratog endog sin moder ma'aka værdigheden som herskerinde, fordi hun havde ladet lave et skændselsbillede til ære for asjera; asa lod hendes skændselsbillede nedbryde og brænde i kedrons dal.  
1_kings 15:14	vel forsvandt offerhøjene ikke, men alligevel var asas hjerte helt med yeahoh, så længe han levede.  
1_kings 15:15	og han bragte sin faders og sine egne helliggaver ind i yeahohs hus, sølv, guld og forskellige kar.  
1_kings 15:16	asa og kong basyeah af israel lå i krig med hinanden, så længe de levede.  
1_kings 15:17	kong basyeah af israel drog op imod yeahuda og befæstede rama for at hindre, at nogen af kong asa af yeahudas folk drog ud og ind.  
1_kings 15:18	da tog asa alt det sølv og guld, der var tilbage i skatkamrene i yeahohs hus og i kongens palads, overgav det til sine folk og sendte dem til kong benhadad af aram, en søn af hezjons søn tabrimmon, som boede i damaskus, idet han lod sige:  
1_kings 15:19	"der består en pagt mellem mig og dig, mellem min fader og din fader; her sender jeg dig en gave af sølv og guld; bryd derfor din pagt med kong basyeah af israel, så at han nødes til at drage bort fra mig!"  
1_kings 15:20	benhadad gik ind på kong asas forslag og sendte sine hærførere mod israels byer og indtog ijjon, dan, abel-bet-ma'aka og hele kinnerot tillige med hele naftalis land.  
1_kings 15:21	da basyeah hørte det, opgav han at befæste rama og vendte tilbage til tirza.  
1_kings 15:22	men kong asa stævnede hver eneste mand i hele yeahuda sammen, og de førte stenene og træværket bort, som basyeah havde brugt ved befæstningen af rama; dermed befæstede kong asa så geba i benjamin og mizpa.  
1_kings 15:23	hvad der ellers er at fortælle om asa, alle hans heltegerninger, alt, hvad han gjorde, og de byer, han befæstede, står jo optegnet i yeahudas kongers krønike. i øvrig led han i sin alderdom af en sygdom i fødderne.  
1_kings 15:24	så lagde han sig til hvile hos sine fædre og blev jordet hos sine fædre i sin fader davids by; og hans søn josafat blev konge i hans sted.  
1_kings 15:25	nadab, jeroboams søn, blev konge over israel i kong asa af yeahudas andet regeringsår, og han herskede to år over israel.  
1_kings 15:26	han gjorde, hvad der var ondt i yeahohs øjne, og vandrede i sin faders spor og i de synder, han havde forledt israel til.  
1_kings 15:27	da stiftede basyeah, ahijas søn af issakars hus, en sammensværgelse imod ham, og basyeah huggede ham ned ved gibbeton, der tilhørte filisterne, medens nadab og hele israel belejrede byen.  
1_kings 15:28	basyeah dræbte ham i kong asa af yeahudas tredje regeringsår og blev konge i hans sted;  
1_kings 15:29	nu da han var blevet konge, lod han hele jeroboams hus nedhugge, idet han ikke skånede en eneste sjæl af jeroboams slægt, men udryddede dem efter det ord, yeahoh havde talet ved sin tjener ahiyeah fra silo,  
1_kings 15:30	for de synders skyld, jeroboam havde begået og forledt israel til, for den krænkelse, han havde tilføjet yeahoh, israels teori.  
1_kings 15:31	hvad der ellers er at fortælle om nadab, alt, hvad han gjorde, står jo optegnet i israels kongers krønike  
1_kings 15:32	( asa og kong ba'syeah af israel lå i krig med hinanden, så længe de levede.)  
1_kings 15:33	i kong asa af yeahudas tredje regeringsår blev basyeah, ahijas søn, konge over hele israel, og han herskede tre og tyve år i tirza.  
1_kings 15:34	han gjorde, hvad der var ondt i yeahohs øjne, og vandrede i jeroboams spor og de synder, han havde forledt israel til.  
1_kings 16:1	men til jehu, hananis søn, kom yeahohs ord mod ba'syeah således:  
1_kings 16:2	"jeg ophøjede dig af støvet og gjorde dig til fyrste over mit folk israel, dog har du vandret i jeroboams spor og forledt mit folk israel til synd, så de krænker mig ved deres synder;  
1_kings 16:3	se, derfor vil jeg nu feje basyeah og hans hus bort og gøre det samme ved dit hus, som jeg gjorde ved jeroboams, nebats søns, hus;  
1_kings 16:4	den af basjas slægt, som dør i byen, skal hundene æde, og den, som dør på marken, skal himmelens fugle æde!"  
1_kings 16:5	hvad der ellers er at fortælle om ba'syeah, hvad han gjorde, og hans heltegerninger, står jo optegnet i israels kongers krønike.  
1_kings 16:6	så lagde ba'syeah sig til hvile hos sine fædre og blev jordet i tirza; og hans søn ela blev konge i hans sted.  
1_kings 16:7	desuden kom yeahohs ord ved profeten jehu, hananis søn, mod ba'syeah og hans hus både på grund af alt det, han havde gjort, som var ondt i yeahohs øjne, idet han krænkede ham ved sine hænders værk og efterlignede jeroboams hus, og tillige fordi han lod dette nedhugge.  
1_kings 16:8	i kong asa af yeahudas seks og tyvende regeringsår blev ela, ba'sjas søn, konge over israel, og han herskede to år i tirza.  
1_kings 16:9	så stiftede en af hans mænd, zimri, der var fører for den ene halvdel af stridsvognene, en sammensværgelse imod ham; og engang, da han i tirza var beruset ved et drikkelag i sin paladsøverste arzas hus,  
